"Name","total_pc_2024","total_pc_2014"
"Moray",21.9612375539417,3.22826018313862
"Shetland Islands",19.7945825786977,0.253643811987926
"North East Lincolnshire",18.0992183852893,0.0976480667371225
"East Lothian",13.6895686751172,0.529397464837645
"Boston",13.2803258002251,0.711086100168824
"Highland",12.4108587677525,6.72776349614396
"Lancaster",9.54870861550556,5.77520930168407
"Dumfries and Galloway",9.27358809132044,NA
"North Norfolk",8.86685182673397,3.71079376459304
"Argyll and Bute",8.43920780020527,NA
