Renewable electricity: number of installations at Local Authority Level - as at end of 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This worksheet contains one table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Some cells refer to notes which can be found on the notes worksheet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Authority Code [note 1],Local Authority Name  [note 5][note 6][note 7] [note 8][note 9],Region,Country,Estimated number of households  [note 2][note 3][note 4],Photovoltaics,Onshore Wind,Hydro,Anaerobic Digestion,Offshore Wind,Wave/Tidal,Sewage Gas,Landfill Gas,Municipal Solid Waste,Animal Biomass,Plant Biomass,Cofiring,Total,,,,,,,,,,,,,
E08000032,Bradford,Yorkshire and Humber,England," 209,900 ","6,585 ",61 ,1 ,0 ,0 ,0 ,2 ,1 ,0 ,0 ,1 ,0 ,"6,651 ",,,,,,,,,,,,,
E07000067,Braintree,Eastern,England," 65,000 ","4,002 ",11 ,0 ,2 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,"4,016 ",,,,,,,,,,,,,
E07000143,Breckland,Eastern,England," 60,400 ","6,678 ",191 ,0 ,7 ,0 ,0 ,0 ,2 ,0 ,1 ,1 ,0 ,"6,880 ",,,,,,,,,,,,,
E09000005,Brent,London,England," 118,600 ","2,035 ",2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,"2,038 ",,,,,,,,,,,,,
E07000068,Brentwood,Eastern,England," 32,300 ","1,361 ",1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,"1,363 ",,,,,,,,,,,,,
W06000013,Bridgend / Pen-Y-Bont Ar Ogwr,Wales,Wales," 62,400 ","3,636 ",19 ,4 ,1 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,"3,662 ",,,,,,,,,,,,,
E06000043,Brighton and Hove,South East,England," 121,400 ","4,498 ",2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"4,500 ",,,,,,,,,,,,,
E06000023,"Bristol, City of",South West,England," 191,600 ","10,029 ",9 ,0 ,2 ,0 ,0 ,1 ,0 ,4 ,0 ,0 ,0 ,"10,045 ",,,,,,,,,,,,,
E07000144,Broadland,Eastern,England," 57,800 ","5,932 ",15 ,0 ,2 ,0 ,0 ,0 ,2 ,0 ,0 ,1 ,0 ,"5,952 ",,,,,,,,,,,,,
E09000006,Bromley,London,England," 135,800 ","3,771 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"3,771 ",,,,,,,,,,,,,
E07000234,Bromsgrove,West Midlands,England," 41,300 ","2,129 ",1 ,0 ,1 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,"2,133 ",,,,,,,,,,,,,
E07000095,Broxbourne,Eastern,England," 39,900 ","1,194 ",0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,"1,196 ",,,,,,,,,,,,,
E07000172,Broxtowe,East Midlands,England," 48,400 ","2,388 ",2 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,"2,392 ",,,,,,,,,,,,,
E06000060,Buckinghamshire,South East,England," 220,300 ","13,619 ",9 ,0 ,2 ,0 ,0 ,2 ,9 ,1 ,0 ,0 ,0 ,"13,642 ",,,,,,,,,,,,,
E07000117,Burnley,North West,England," 39,900 ","1,473 ",20 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,"1,494 ",,,,,,,,,,,,,
E08000002,Bury,North West,England," 80,700 ","2,349 ",4 ,1 ,0 ,0 ,0 ,1 ,2 ,0 ,0 ,1 ,0 ,"2,358 ",,,,,,,,,,,,,
W06000018,Caerphilly / Caerffili,Wales,Wales," 76,300 ","4,178 ",18 ,0 ,3 ,0 ,0 ,0 ,3 ,0 ,0 ,1 ,0 ,"4,203 ",,,,,,,,,,,,,
E08000033,Calderdale,Yorkshire and Humber,England," 90,500 ","3,697 ",104 ,4 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,0 ,"3,807 ",,,,,,,,,,,,,
E07000008,Cambridge,Eastern,England," 52,400 ","4,737 ",0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,"4,738 ",,,,,,,,,,,,,
E09000007,Camden,London,England," 92,800 ","1,094 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,094 ",,,,,,,,,,,,,
E07000192,Cannock Chase,West Midlands,England," 43,500 ","2,205 ",0 ,0 ,1 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,"2,209 ",,,,,,,,,,,,,
E07000106,Canterbury,South East,England," 63,800 ","4,511 ",0 ,0 ,0 ,2 ,0 ,1 ,2 ,0 ,0 ,1 ,0 ,"4,517 ",,,,,,,,,,,,,
W06000015,Cardiff / Caerdydd,Wales,Wales," 147,300 ","5,911 ",2 ,1 ,1 ,0 ,0 ,1 ,2 ,1 ,0 ,0 ,0 ,"5,919 ",,,,,,,,,,,,,
W06000010,Carmarthenshire / Sir Gaerfyrddin,Wales,Wales," 81,800 ","8,864 ",113 ,10 ,3 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,"8,991 ",,,,,,,,,,,,,
E07000069,Castle Point,Eastern,England," 37,400 ","1,578 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,578 ",,,,,,,,,,,,,
E06000056,Central Bedfordshire,Eastern,England," 120,800 ","7,408 ",8 ,0 ,3 ,0 ,0 ,2 ,6 ,0 ,0 ,1 ,0 ,"7,428 ",,,,,,,,,,,,,
W06000008,Ceredigion,Wales,Wales," 30,900 ","5,413 ",75 ,27 ,5 ,0 ,0 ,1 ,0 ,0 ,0 ,4 ,0 ,"5,525 ",,,,,,,,,,,,,
E07000130,Charnwood,East Midlands,England," 73,800 ","4,112 ",10 ,0 ,3 ,0 ,0 ,2 ,0 ,1 ,0 ,0 ,0 ,"4,128 ",,,,,,,,,,,,,
E07000070,Chelmsford,Eastern,England," 75,400 ","4,786 ",4 ,0 ,0 ,0 ,0 ,1 ,3 ,0 ,0 ,0 ,0 ,"4,794 ",,,,,,,,,,,,,
E07000078,Cheltenham,South West,England," 52,900 ","3,307 ",1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"3,308 ",,,,,,,,,,,,,
E07000177,Cherwell,South East,England," 65,900 ","5,015 ",2 ,0 ,4 ,0 ,0 ,1 ,2 ,1 ,0 ,0 ,0 ,"5,025 ",,,,,,,,,,,,,
E06000049,Cheshire East,North West,England," 174,900 ","9,428 ",18 ,5 ,2 ,0 ,0 ,3 ,5 ,0 ,0 ,3 ,0 ,"9,464 ",,,,,,,,,,,,,
E06000050,Cheshire West And Chester,North West,England," 155,200 ","10,250 ",5 ,0 ,6 ,0 ,0 ,2 ,3 ,0 ,0 ,2 ,0 ,"10,268 ",,,,,,,,,,,,,
E07000034,Chesterfield,East Midlands,England," 48,100 ","3,039 ",1 ,0 ,0 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,0 ,"3,044 ",,,,,,,,,,,,,
E07000225,Chichester,South East,England," 54,100 ","5,298 ",2 ,3 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,"5,305 ",,,,,,,,,,,,,
E07000118,Chorley,North West,England," 50,100 ","4,172 ",6 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,0 ,0 ,"4,182 ",,,,,,,,,,,,,
S12000036,City of Edinburgh,Scotland,Scotland," 244,791 ","9,527 ",4 ,2 ,1 ,0 ,0 ,3 ,1 ,0 ,0 ,0 ,0 ,"9,538 ",,,,,,,,,,,,,
E09000001,City of London,London,England," 4,900 ",66 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,66 ,,,,,,,,,,,,,
S12000005,Clackmannanshire,Scotland,Scotland," 24,438 ","1,766 ",3 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,771 ",,,,,,,,,,,,,
E07000071,Colchester,Eastern,England," 79,700 ","8,166 ",8 ,1 ,1 ,0 ,0 ,1 ,4 ,0 ,0 ,1 ,0 ,"8,182 ",,,,,,,,,,,,,
